"","time","metric2","incidence_rate"
"399",2005,"Hepatitis",91.9589590414406
"400",2004,"Hepatitis",88.690802227898
"401",2023,"Pulmonary Tuberculosis",43.4893
"402",2022,"Pulmonary Tuberculosis",39.76
"403",2021,"Pulmonary Tuberculosis",45.3651
"404",2020,"Pulmonary Tuberculosis",47.7644
"405",2019,"Pulmonary Tuberculosis",55.5491
"406",2018,"Pulmonary Tuberculosis",59.2717
"407",2017,"Pulmonary Tuberculosis",60.5283393146492
"408",2016,"Pulmonary Tuberculosis",61.0041958458238
"409",2015,"Pulmonary Tuberculosis",63.4154955037191
"410",2014,"Pulmonary Tuberculosis",65.6288081055007
"411",2013,"Pulmonary Tuberculosis",66.7952202298307
"412",2012,"Pulmonary Tuberculosis",70.6207001020394
"413",2011,"Pulmonary Tuberculosis",71.0916469295975
"414",2010,"Pulmonary Tuberculosis",74.2728919318978
"415",2009,"Pulmonary Tuberculosis",81.0935076889606
"416",2008,"Pulmonary Tuberculosis",88.5150118444853
"417",2007,"Pulmonary Tuberculosis",88.5492504848318
"418",2006,"Pulmonary Tuberculosis",86.2347485095348
"419",2005,"Pulmonary Tuberculosis",96.8788752066477
"420",2004,"Pulmonary Tuberculosis",74.6437363448934
"421",2023,"AIDS",4.1783
"422",2022,"AIDS",3.69
"423",2021,"AIDS",4.2669
"424",2020,"AIDS",4.4283
"425",2019,"AIDS",5.0986
"426",2018,"AIDS",4.6195
"427",2017,"AIDS",4.1449
"428",2016,"AIDS",3.9656
"429",2015,"AIDS",3.694
"430",2014,"AIDS",3.3313
"431",2013,"AIDS",3.1229
"432",2012,"AIDS",3.1119
"433",2011,"AIDS",1.525
"434",2010,"AIDS",1.1973
"435",2009,"AIDS",1
"436",2008,"AIDS",0.7613
"437",2007,"AIDS",0.7399
"438",2006,"AIDS",0.5101
"439",2005,"AIDS",0.4324
"440",2004,"AIDS",0.234944764132074
"441",2023,"Schistosomiasis",9e-04
"442",2022,"Schistosomiasis",0
"443",2021,"Schistosomiasis",9e-04
"444",2020,"Schistosomiasis",0.003
"445",2019,"Schistosomiasis",0.008
"446",2018,"Schistosomiasis",0.0103
"447",2017,"Schistosomiasis",0.0859521217576943
"448",2016,"Schistosomiasis",0.213308526125626
"449",2015,"Schistosomiasis",2.50596952944507
"450",2014,"Schistosomiasis",0.310810035002287
"451",2013,"Schistosomiasis",0.420888600041358
"452",2012,"Schistosomiasis",0.356403311259593
"453",2011,"Schistosomiasis",0.334325198064971
"454",2010,"Schistosomiasis",0.323433776637921
"455",2009,"Schistosomiasis",0.265131549423301
"456",2008,"Schistosomiasis",0.223115288846506
"457",2007,"Schistosomiasis",0.2119
"458",2006,"Schistosomiasis",0.234941433773386
"459",2005,"Schistosomiasis",0.24194543398396
"460",2004,"Schistosomiasis",0.0980859771671231
"461",2023,"Leptospirosis",0.0214
"462",2022,"Leptospirosis",0.01
"463",2021,"Leptospirosis",0.0286
"464",2020,"Leptospirosis",0.0211
"465",2019,"Leptospirosis",0.0153
"466",2018,"Leptospirosis",0.0113
"467",2017,"Leptospirosis",0.014566927886422
"468",2016,"Leptospirosis",0.0258246300439369
"469",2015,"Leptospirosis",0.0260556829497408
"470",2014,"Leptospirosis",0.0367481950216379
"471",2013,"Leptospirosis",0.0260701308676258
"472",2012,"Leptospirosis",0.0326566965752231
"473",2011,"Leptospirosis",0.0295321834561072
"474",2010,"Leptospirosis",0.050721488715282
"475",2009,"Leptospirosis",0.0423186398113874
"476",2008,"Leptospirosis",0.0652392737400571
"477",2007,"Leptospirosis",0.066033897603639
"478",2006,"Leptospirosis",0.0479519137291384
"479",2005,"Leptospirosis",0.10885621274636
"480",2004,"Leptospirosis",0.106856017478536
"481",2023,"Measles",0.0441
"482",2022,"Measles",0.04
"483",2021,"Measles",0.0392
"484",2020,"Measles",0.0609
"485",2019,"Measles",0.2129
"486",2018,"Measles",0.2836
"487",2017,"Measles",0.430557803846932
"488",2016,"Measles",1.81064214036868
"489",2015,"Measles",3.10914024065907
"490",2014,"Measles",3.88350202329068
"491",2013,"Measles",2.04174175061298
"492",2012,"Measles",0.4589
"493",2011,"Measles",0.741511363899177
"494",2010,"Measles",2.85890884473626
"495",2009,"Measles",3.95031701627258
"496",2008,"Measles",9.94792967478752
"497",2007,"Measles",8.29402490603863
"498",2006,"Measles",7.61739475478412
"499",2005,"Measles",9.47287534468964
"500",2004,"Measles",5.42734713973598
